"ID","kingdom","phylum","class","order","family","genus","species"
"ASV1","Metazoa","Porifera","Demospongiae","Tetractinellida","Ancorinidae","unclassified","Ancorinidae sp. 3 JV-2020"
"ASV3","Metazoa","Porifera","Demospongiae","Suberitida","Halichondriidae","Hymeniacidon","Hymeniacidon sp. 2 JV-2020"
"ASV5","Metazoa","Porifera","Calcarea","Clathrinida","Clathrinidae","unclassified","Clathrinidae sp. 4 JV-2020"
"ASV9","Metazoa","Mollusca","Gastropoda","Littorinimorpha","Hipponicidae","Sabia","Sabia australis"
"ASV14","Metazoa","Porifera","Demospongiae","Haplosclerida","Chalinidae","Haliclona","Haliclona sp. 1 JV-2020"
"ASV17","Metazoa","Porifera","Demospongiae","Suberitida","Suberitidae","unclassified","Suberitidae sp. 1 JV-2020"
"ASV39","Metazoa","Porifera","Calcarea","Leucosolenida","unclassified","unclassified","Leucosolenida sp. 7 JV-2020"
"ASV43","Metazoa","Porifera","Demospongiae","Tethyida","Tethyidae","unclassified","Tethya sp. 5 JV-2020"
"ASV49","Metazoa","Porifera","Demospongiae","Haplosclerida","unclassified","unclassified","Haplosclerida sp. 10 JV-2020"
"ASV53","Metazoa","Porifera","Calcarea","Leucosolenida","unclassified","unclassified","Leucosolenida sp. 1 JV-2020"
"ASV58","Metazoa","Porifera","Calcarea","Leucosolenida","unclassified","unclassified","Leucosolenida sp. 3 JV-2020"
"ASV70","Metazoa","Mollusca","Gastropoda","Littorinimorpha","Vermetidae","Dendropoma","Dendropoma rhyssoconchum"
"ASV79","Metazoa","Mollusca","Gastropoda","Pleurotomariida","Scissurellidae","Scissurella","Scissurella coronata"
"ASV83","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariaceae","Auricularia","Auricularia nigricans"
"ASV100","unclassified","Rhodophyta","Florideophyceae","Corallinales","unclassified","unclassified","Corallinales sp."
"ASV107","Metazoa","Annelida","Polychaeta","Terebellida","Cirratulidae","Aphelochaeta","Aphelochaeta marioni"
"ASV110","Metazoa","Porifera","Calcarea","Clathrinida","unclassified","unclassified","Clathrinida sp. 1 JV-2020"
"ASV113","unclassified","Rhodophyta","Florideophyceae","Corallinales","unclassified","unclassified","uncultured Corallinales"
"ASV129","Metazoa","Mollusca","Gastropoda","Littorinimorpha","Vermetidae","Thylaeodus","Thylaeodus sp. TAR-2014"
"ASV146","unclassified","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Pneophyllum","Pneophyllum cetinaensis"
"ASV159","Metazoa","Mollusca","Gastropoda","unclassified","Cerithiidae","Clypeomorus","Clypeomorus bifasciata"
"ASV161","Metazoa","Annelida","Polychaeta","Eunicida","Eunicidae","Nematonereis","Nematonereis sp. VR-2006"
"ASV162","Metazoa","Annelida","Polychaeta","Sabellida","Serpulidae","Pileolaria","Pileolaria militaris"
"ASV201","Metazoa","Porifera","Demospongiae","Tetractinellida","Theonellidae","Racodiscula","Racodiscula asteroides"
"ASV206","Metazoa","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Amphipholis","Amphipholis squamata"
"ASV223","Metazoa","Porifera","Homoscleromorpha","Homosclerophorida","Oscarellidae","Oscarella","Oscarella sp. 6 JV-2020"
"ASV225","Metazoa","Annelida","Polychaeta","Terebellida","Cirratulidae","Dodecaceria","Dodecaceria concharum"
"ASV270","unclassified","Rhodophyta","Florideophyceae","Corallinales","Lithophyllaceae","Lithophyllum","Lithophyllum racemus"
"ASV280","Metazoa","Mollusca","Gastropoda","Lepetellida","Fissurellidae","Diodora","Diodora sp. MNHN IM 2013-5629"
"ASV293","Metazoa","Porifera","Demospongiae","Poecilosclerida","unclassified","unclassified","Poecilosclerida sp. 7 JV-2020"
