"ID","kingdom","phylum","class","order","family","genus","species"
"ASV9","Viridiplantae","Chlorophyta","Chloropicophyceae","Chloropicales","Chloropicaceae","Chloropicon","Chloropicon roscoffensis"
"ASV11","Metazoa","Annelida","Polychaeta","Phyllodocida","Polynoidae","Lepidonotus","Lepidonotus havaicus"
"ASV12","Metazoa","Arthropoda","Malacostraca","Amphipoda","Gammaridae","unclassified","Gammaridae sp. KML 32"
"ASV15","Metazoa","Mollusca","Gastropoda","Littorinimorpha","Hipponicidae","Antisabia","Antisabia imbricata"
"ASV21","Metazoa","Mollusca","Gastropoda","Littorinimorpha","Vermetidae","Petaloconchus","Petaloconchus keenae"
"ASV34","Metazoa","Echinodermata","Ophiuroidea","Amphilepidida","Ophiactidae","Ophiactis","Ophiactis lymani"
"ASV40","Metazoa","Porifera","Demospongiae","Suberitida","Suberitidae","unclassified","Suberitidae sp. 1 JV-2020"
"ASV43","Metazoa","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Amphipholis","Amphipholis cf. squamata ACAP105"
"ASV46","Metazoa","Porifera","Demospongiae","Suberitida","Halichondriidae","Hymeniacidon","Hymeniacidon sp. 2 JV-2020"
"ASV49","Metazoa","Annelida","Polychaeta","Terebellida","Terebellidae","Eupolymnia","Eupolymnia sp. HAW02"
"ASV51","Metazoa","Mollusca","Gastropoda","Littorinimorpha","Vermetidae","Thylaeodus","Thylaeodus sp. Rawlings et al 2010"
"ASV54","Metazoa","Annelida","Polychaeta","unclassified","unclassified","unclassified","Polychaeta sp. C_0230"
"ASV57","Metazoa","Annelida","unclassified","unclassified","unclassified","unclassified","Annelida sp. FLFIV312-14"
"ASV61","Metazoa","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Amphipholis","Amphipholis sp. HAW01"
"ASV76","Metazoa","Mollusca","Gastropoda","Littorinimorpha","Vermetidae","Thylaeodus","Thylaeodus sp. TAR-2010"
"ASV98","Metazoa","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Amphipholis","Amphipholis sp. 2mm_0350"
"ASV117","Metazoa","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Amphipholis","Amphipholis squamata"
"ASV123","Metazoa","Annelida","Polychaeta","Eunicida","Dorvilleidae","unclassified","Dorvilleidae sp. BMOO-13194"
"ASV140","Metazoa","Mollusca","Gastropoda","unclassified","Cerithiidae","Cerithium","Cerithium zebrum"
"ASV145","Metazoa","Porifera","Demospongiae","Biemnida","Biemnidae","Sigmaxinella","Sigmaxinella hipposiderus"
"ASV150","Metazoa","Mollusca","Gastropoda","Lepetellida","Fissurellidae","Diodora","Diodora octagona"
"ASV175","Metazoa","Porifera","Demospongiae","Tethyida","Tethyidae","Tethya","Tethya sp. 5 JV-2020"
"ASV196","Metazoa","Mollusca","Gastropoda","Littorinimorpha","Vermetidae","Cupolaconcha","Cupolaconcha meroclista"
"ASV215","Metazoa","Cnidaria","Anthozoa","Actiniaria","Aiptasiidae","Exaiptasia","Exaiptasia diaphana"
"ASV241","Metazoa","Annelida","Polychaeta","unclassified","Orbiniidae","Naineris","Naineris aff. laevigata HAW01"
"ASV243","Metazoa","Mollusca","Gastropoda","Lepetellida","Fissurellidae","Diodora","Diodora ruppellii"
"ASV246","Metazoa","Porifera","Demospongiae","Dendroceratida","Darwinellidae","Dendrilla","Dendrilla sp. FAR-2016"
"ASV253","Metazoa","Echinodermata","Ophiuroidea","Amphilepidida","Ophiactidae","Ophiactis","Ophiactis sp. HAW02"
"ASV260","Metazoa","Annelida","Polychaeta","Eunicida","Oenonidae","Oenone","Oenone aff. fulgida HAW02"
"ASV261","Metazoa","Arthropoda","Malacostraca","Decapoda","Palaemonidae","Kemponia","Kemponia sp. HAW01"
"ASV262","unclassified","Rhodophyta","Florideophyceae","Gigartinales","Hypneaceae","Hypnea","Hypnea sp."
"ASV273","Metazoa","Annelida","Polychaeta","Terebellida","Cirratulidae","Dodecaceria","Dodecaceria sp. AMW23009"
"ASV288","Metazoa","Porifera","Demospongiae","Suberitida","Halichondriidae","Halichondria","Halichondria sp. 1 JV-2020"
"ASV297","Metazoa","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Ascidia","Ascidia sp. HAW01"
"ASV306","Metazoa","Mollusca","Gastropoda","Littorinimorpha","Vermetidae","Dendropoma","Dendropoma rhyssoconchum"
"ASV310","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ASV318","Metazoa","Porifera","Demospongiae","Suberitida","Suberitidae","Protosuberites","Protosuberites denhartogi"
"ASV329","Metazoa","Echinodermata","Ophiuroidea","Amphilepidida","Ophiactidae","Ophiactis","Ophiactis aff. savignyi HAW02"
"ASV331","Metazoa","Echinodermata","Ophiuroidea","Amphilepidida","Ophiactidae","unclassified","Ophiactidae sp. 2mm_0360"
"ASV379","Metazoa","Annelida","Polychaeta","Phyllodocida","Syllidae","Syllis","Syllis malaquini"
"ASV445","Metazoa","Mollusca","Gastropoda","Trochida","Trochidae","Trochus","Trochus intextus"
"ASV478","unclassified","Rhodophyta","Florideophyceae","Corallinales","Porolithaceae","Harveylithon","Harveylithon sp. 9"
"ASV485","unclassified","Cercozoa","Chlorarachniophyceae","unclassified","unclassified","Amorphochlora","Amorphochlora amoebiformis"
"ASV495","Metazoa","Porifera","Homoscleromorpha","Homosclerophorida","Plakinidae","Plakina","Plakina sp. 1 JV-2020"
"ASV496","Metazoa","Annelida","Polychaeta","Phyllodocida","Nereididae","Ceratonereis","Ceratonereis tentaculata"
"ASV516","unclassified","unclassified","Phaeophyceae","Dictyotales","Dictyotaceae","Dictyota","Dictyota sp. 3FP"
"ASV527","Metazoa","Chordata","Actinopteri","Chaetodontiformes","Chaetodontidae","Chaetodon","Chaetodon auriga"
"ASV536","Metazoa","Porifera","Homoscleromorpha","Homosclerophorida","Plakinidae","Plakortis","Plakortis sp. 1 JV-2020"
"ASV537","Metazoa","Porifera","Demospongiae","Tethyida","Tethyidae","Tethya","Tethya sp. 3 JV-2020"
"ASV555","Metazoa","Annelida","Polychaeta","Terebellida","Cirratulidae","Timarete","Timarete punctata"
"ASV564","unclassified","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Hydrolithon","Hydrolithon boergesenii"
"ASV568","Metazoa","Arthropoda","Malacostraca","Amphipoda","unclassified","unclassified","Amphipoda sp. LPdivOTU63"
"ASV578","Metazoa","Annelida","Polychaeta","Phyllodocida","Hesionidae","Syllidia","Syllidia sp. A ZW-2021"
"ASV601","Metazoa","Mollusca","Bivalvia","Ostreida","Ostreidae","unclassified","Ostreidae sp. HAW01"
"ASV613","Metazoa","Porifera","Demospongiae","Poecilosclerida","unclassified","unclassified","Poecilosclerida sp. 2 JV-2020"
"ASV615","unclassified","Rhodophyta","Florideophyceae","Gelidiales","Pterocladiaceae","Pterocladiella","Pterocladiella sp. 8"
"ASV648","Metazoa","Annelida","unclassified","unclassified","unclassified","unclassified","Annelida sp. BOLD:ACQ2837"
"ASV680","Metazoa","Annelida","Polychaeta","Eunicida","Eunicidae","Nematonereis","Nematonereis sp. C_1328"
"ASV682","Metazoa","Annelida","Polychaeta","unclassified","Chaetopteridae","Phyllochaetopterus","Phyllochaetopterus verrilli"
"ASV683","unclassified","Rhodophyta","Florideophyceae","Hapalidiales","Hapalidiaceae","Phymatolithon","Phymatolithon taiwanense"
"ASV713","Metazoa","Echinodermata","Ophiuroidea","Amphilepidida","Ophiactidae","Ophiactis","Ophiactis sp. NBEGC07"
"ASV744","unclassified","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","unclassified","alpha proteobacterium HIMB59"
"ASV753","Metazoa","Annelida","Polychaeta","Eunicida","Eunicidae","Lysidice","Lysidice ninetta"
"ASV755","Metazoa","Annelida","Polychaeta","Eunicida","Eunicidae","Eunice","Eunice aff. antennata HAW02"
"ASV810","Metazoa","Echinodermata","Ophiuroidea","Amphilepidida","Ophiactidae","Ophiactis","Ophiactis sp. HAW01"
"ASV818","unclassified","Rhodophyta","Florideophyceae","Gigartinales","Hypneaceae","Hypnea","Hypnea wynnei"
"ASV843","Metazoa","Annelida","Polychaeta","Terebellida","Cirratulidae","Ctenodrilus","Ctenodrilus japonicus"
"ASV853","Metazoa","Porifera","Demospongiae","Tetractinellida","Tetillidae","Cinachyra","Cinachyra sp. CJ-2016"
"ASV859","unclassified","Bacillariophyta","Mediophyceae","Cymatosirales","Cymatosiraceae","Minutocellus","Minutocellus polymorphus"
"ASV863","Metazoa","Echinodermata","Ophiuroidea","Amphilepidida","Ophiactidae","unclassified","Ophiactidae sp. 2mm_0184"
"ASV893","unclassified","unclassified","Phaeophyceae","Dictyotales","Dictyotaceae","Dictyota","Dictyota friabilis"
"ASV916","Metazoa","Annelida","Polychaeta","Terebellida","Cirratulidae","Timarete","Timarete ceciliae"
"ASV957","Metazoa","Porifera","Demospongiae","Dendroceratida","unclassified","unclassified","Dendroceratida sp. 3 JV-2020"
"ASV972","unclassified","Rhodophyta","Florideophyceae","Peyssonneliales","Peyssonneliaceae","Peyssonnelia","Peyssonnelia sp. 8"
"ASV1000","Metazoa","Porifera","Demospongiae","Suberitida","Halichondriidae","Halichondria","Halichondria coerulea"
"ASV1007","Metazoa","Cnidaria","Anthozoa","Scleractinia","Poritidae","Porites","Porites lutea"
"ASV1047","Metazoa","Porifera","Demospongiae","Poecilosclerida","Mycalidae","Mycale","Mycale cecilia"
