ID_ASV,kingdom,phylum,class,order,family,genus,species
ASV1,Metazoa,Porifera,Demospongiae,Tetractinellida,Ancorinidae,unclassified,Ancorinidae sp. 3 JV-2020
ASV100002,Metazoa,Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta marioni
ASV100010,Metazoa,Annelida,Polychaeta,Sabellida,Serpulidae,Pileolaria,Pileolaria militaris
ASV100014,Metazoa,Porifera,Homoscleromorpha,Homosclerophorida,Oscarellidae,Oscarella,Oscarella sp. 6 JV-2020
ASV100015,Metazoa,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,Dodecaceria concharum
ASV100017,Metazoa,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Diodora,Diodora sp. MNHN IM 2013-5629
ASV100019,Metazoa,Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta sp. MG394
ASV100022,Metazoa,Annelida,Polychaeta,Phyllodocida,Syllidae,Exogone,Exogone verugera
ASV100023,unclassified,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia sp. CHPN1
ASV100025,unclassified,unclassified,Phaeophyceae,Ectocarpales,Chordariaceae,Ascoseirophila,Ascoseirophila violodora
ASV100028,Metazoa,Echinodermata,Ophiuroidea,Amphilepidida,Ophiactidae,Ophiactis,Ophiactis resiliens
ASV100029,Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Hydrichthyidae,Hydrichthys,Hydrichthys boycei
ASV100030,Metazoa,Annelida,Polychaeta,Sabellida,Serpulidae,Jugaria,Jugaria quadrangularis
ASV100031,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified,uncultured eukaryote
ASV100037,unclassified,Cercozoa,Chlorarachniophyceae,unclassified,unclassified,Lotharella,Lotharella globosa
ASV100039,Metazoa,Cnidaria,Hydrozoa,Leptothecata,Haleciidae,Nemalecium,Nemalecium lighti
ASV100040,Metazoa,Cnidaria,Hydrozoa,Leptothecata,unclassified,unclassified,Obeliida sp. USNM 1420678
ASV100042,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified,uncultured bacterium KM3-187-G1
ASV100043,Metazoa,Porifera,Demospongiae,Haplosclerida,unclassified,unclassified,Haplosclerida sp. 10 JV-2020
ASV100044,Metazoa,Bryozoa,Gymnolaemata,Cheilostomatida,Chaperiidae,Chaperiopsis,Chaperiopsis lanceola
ASV100045,Metazoa,Porifera,Demospongiae,Biemnida,Biemnidae,Neofibularia,Neofibularia hartmani
ASV100048,Metazoa,Cnidaria,Hydrozoa,Leptothecata,Laodiceidae,Melicertissa,Melicertissa sp. AGC-2001
ASV100050,Viridiplantae,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Sipanea,Sipanea sp. Rova et al. 1981
ASV100051,unclassified,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Mediolabrus,Mediolabrus comicus
ASV100053,unclassified,Rhodophyta,Florideophyceae,Gigartinales,Hypneaceae,Hypnea,Hypnea charoides
ASV100054,unclassified,unclassified,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum sp.
ASV100058,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,Auricularia,Auricularia nigricans
ASV101,Metazoa,Porifera,Calcarea,Leucosolenida,unclassified,unclassified,Leucosolenida sp. 5 JV-2020
ASV108,Metazoa,Porifera,Demospongiae,Haplosclerida,Callyspongiidae,Callyspongia,Callyspongia sp. 2 JV-2020
ASV109,Metazoa,Porifera,Demospongiae,Suberitida,unclassified,unclassified,Suberitida sp. 1 JV-2020
ASV11,Metazoa,Porifera,Demospongiae,Poecilosclerida,unclassified,unclassified,Poecilosclerida sp. 2 JV-2020
ASV110,Metazoa,Porifera,Demospongiae,Suberitida,Halichondriidae,Hymeniacidon,Hymeniacidon sp. 3 JV-2020
ASV113,Metazoa,Porifera,Demospongiae,Haplosclerida,Chalinidae,Haliclona,Haliclona sp. 24 JV-2020
ASV114,Metazoa,Porifera,Demospongiae,Tethyida,Tethyidae,Tethya,Tethya sp. 5 JV-2020
ASV118,Metazoa,Porifera,Demospongiae,Dictyoceratida,Dysideidae,Dysidea,Dysidea sp. 3 JV-2020
ASV119,unclassified,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Hydrolithon,Hydrolithon cf. reinboldii
ASV12,Metazoa,Porifera,Demospongiae,Suberitida,Halichondriidae,Halichondria,Halichondria sp. 1 JV-2020
ASV122,Metazoa,Porifera,Demospongiae,Poecilosclerida,Mycalidae,Mycale,Mycale sp. 10 JV-2020
ASV127,Metazoa,Porifera,Demospongiae,Haplosclerida,Callyspongiidae,Callyspongia,Callyspongia sp. 1 JV-2020
ASV129,Metazoa,Porifera,Demospongiae,Dictyoceratida,Dysideidae,Dysidea,Dysidea cf. pallescens JV-2020
ASV13,Metazoa,Porifera,Demospongiae,Tethyida,Tethyidae,Tethya,Tethya sp. 3 JV-2020
ASV131,Metazoa,Annelida,Polychaeta,Eunicida,Eunicidae,Eunice,Eunice australis
ASV132,Metazoa,Porifera,Demospongiae,unclassified,unclassified,unclassified,Keratosa sp. 1 JV-2020
ASV137,Metazoa,Porifera,Demospongiae,Haplosclerida,Chalinidae,Haliclona,Haliclona sp. 4 JV-2020
ASV14,Metazoa,Porifera,Demospongiae,Dictyoceratida,Dysideidae,Dysidea,Dysidea sp. 5 JV-2020
ASV140,Metazoa,Porifera,Calcarea,Clathrinida,Clathrinidae,unclassified,Clathrinidae sp. 5 JV-2020
ASV141,Metazoa,Porifera,Demospongiae,Suberitida,Halichondriidae,Halichondria,Halichondria sp. 2 JV-2020
ASV147,Metazoa,Porifera,Demospongiae,Suberitida,Halichondriidae,Halichondria,Halichondria sp. 5 JV-2020
ASV150,Metazoa,Porifera,Demospongiae,Suberitida,unclassified,unclassified,Suberitida sp. 2 JV-2020
ASV151,Metazoa,Porifera,Demospongiae,Suberitida,Halichondriidae,Hymeniacidon,Hymeniacidon sp. 1 JV-2020
ASV161,Metazoa,Mollusca,Gastropoda,Pleurotomariida,Scissurellidae,Scissurella,Scissurella coronata
ASV163,Metazoa,Porifera,Demospongiae,Haplosclerida,unclassified,unclassified,Haplosclerida sp. 14 JV-2020
ASV165,Metazoa,Porifera,Demospongiae,Axinellida,unclassified,unclassified,Axinellida sp. 1 JV-2020
ASV17,Metazoa,Porifera,Demospongiae,Suberitida,Suberitidae,unclassified,Suberitidae sp. 2 JV-2020
ASV177,Metazoa,Porifera,Demospongiae,Tetractinellida,Ancorinidae,unclassified,Ancorinidae sp. 1 JV-2020
ASV178,Metazoa,Porifera,Demospongiae,Suberitida,Halichondriidae,Hymeniacidon,Hymeniacidon sp. 2 JV-2020
ASV183,Metazoa,Porifera,Demospongiae,Biemnida,Biemnidae,Biemna,Biemna sp. P60
ASV189,unclassified,Rhodophyta,Florideophyceae,Corallinales,Lithophyllaceae,Lithophyllum,Lithophyllum racemus
ASV190,Metazoa,Porifera,Demospongiae,Suberitida,Suberitidae,unclassified,Suberitidae sp. 3 JV-2020
ASV2,unclassified,Rhodophyta,Florideophyceae,Corallinales,unclassified,unclassified,uncultured Corallinales
ASV20,Metazoa,Porifera,Demospongiae,Poecilosclerida,unclassified,unclassified,Poecilosclerida sp. 1 JV-2020
ASV204,Metazoa,Porifera,Demospongiae,Poecilosclerida,unclassified,unclassified,Poecilosclerida sp. 10 JV-2020
ASV210,Metazoa,Porifera,Demospongiae,Tethyida,Tethyidae,Tethya,Tethya sp. 6 JV-2020
ASV211,Metazoa,Porifera,Demospongiae,Poecilosclerida,Mycalidae,Mycale,Mycale sp. SI_110Y
ASV213,Metazoa,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphipholis,Amphipholis squamata
ASV215,Metazoa,Porifera,Homoscleromorpha,Homosclerophorida,Plakinidae,Plakina,Plakina sp. 1 JV-2020
ASV220,Metazoa,Annelida,Polychaeta,Eunicida,Eunicidae,Nematonereis,Nematonereis sp. VR-2006
ASV221,Metazoa,Porifera,Demospongiae,Dictyoceratida,unclassified,unclassified,Dictyoceratida sp. 4 JV-2020
ASV224,Metazoa,Porifera,Demospongiae,Suberitida,Halichondriidae,Hymeniacidon,Hymeniacidon caerulea
ASV227,Metazoa,Porifera,Demospongiae,Haplosclerida,unclassified,unclassified,Haliclona sp. 2 JV-2020
ASV228,Metazoa,Porifera,Demospongiae,Clionaida,Spirastrellidae,Spheciospongia,Spheciospongia solida
ASV232,Metazoa,Porifera,Calcarea,Leucosolenida,unclassified,unclassified,Leucosolenida sp. 3 JV-2020
ASV237,Metazoa,Porifera,Homoscleromorpha,Homosclerophorida,Oscarellidae,Oscarella,Oscarella sp. 5 JV-2020
ASV241,Metazoa,Porifera,Demospongiae,Axinellida,Raspailiidae,Echinodictyum,Echinodictyum sp. 1 JV-2020
ASV242,Metazoa,Porifera,Demospongiae,Chondrillida,unclassified,unclassified,Chondrillida sp. 1 JV-2020
ASV248,Metazoa,Porifera,Demospongiae,Dendroceratida,Darwinellidae,Chelonaplysilla,Chelonaplysilla sp. 1 JV-2020
ASV25,Metazoa,Porifera,Demospongiae,Suberitida,unclassified,unclassified,Suberitida sp. 3 JV-2020
ASV259,Metazoa,Porifera,Demospongiae,Tetractinellida,Ancorinidae,unclassified,Ancorinidae sp. 5 JV-2020
ASV265,Metazoa,Porifera,Demospongiae,Poecilosclerida,Coelosphaeridae,Lissodendoryx,Lissodendoryx sp. 1 JV-2020
ASV266,Metazoa,Porifera,Demospongiae,Poecilosclerida,Mycalidae,Mycale,Mycale sp. 9 JV-2020
ASV269,Metazoa,Porifera,Demospongiae,Poecilosclerida,Crambeidae,Monanchora,Monanchora clathrata
ASV270,Metazoa,Porifera,Calcarea,Leucosolenida,unclassified,unclassified,Leucosolenida sp. 21 JV-2020
ASV271,Metazoa,Porifera,Demospongiae,Clionaida,Spirastrellidae,Spirastrella,Spirastrella sp. 1 JV-2020
ASV278,Metazoa,Porifera,Demospongiae,Haplosclerida,Chalinidae,Haliclona,Haliclona sp. 21 JV-2020
ASV284,Metazoa,Porifera,Demospongiae,Dendroceratida,unclassified,unclassified,Dendroceratida sp. 3 JV-2020
ASV289,Metazoa,Porifera,Demospongiae,Tetractinellida,Ancorinidae,unclassified,Ancorinidae sp. 7 JV-2020
ASV294,Metazoa,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Diodora,Diodora cayenensis
ASV295,Metazoa,Porifera,Demospongiae,Poecilosclerida,unclassified,unclassified,Poecilosclerida sp. 9 JV-2020
