"kingdom","phylum","class","order","family","genus","species","ID_ASV"
"Metazoa","Porifera","Demospongiae","Tetractinellida","Ancorinidae","unclassified","Ancorinidae sp. 3 JV-2020","ASV1"
"Metazoa","Porifera","Homoscleromorpha","Homosclerophorida","Oscarellidae","Oscarella","Oscarella sp. 6 JV-2020","ASV100014"
"Metazoa","Porifera","Demospongiae","Haplosclerida","unclassified","unclassified","Haplosclerida sp. 10 JV-2020","ASV100043"
"Metazoa","Porifera","Demospongiae","Biemnida","Biemnidae","Neofibularia","Neofibularia hartmani","ASV100045"
"Metazoa","Porifera","Calcarea","Leucosolenida","unclassified","unclassified","Leucosolenida sp. 5 JV-2020","ASV101"
"Metazoa","Porifera","Demospongiae","Haplosclerida","Callyspongiidae","Callyspongia","Callyspongia sp. 2 JV-2020","ASV108"
"Metazoa","Porifera","Demospongiae","Suberitida","unclassified","unclassified","Suberitida sp. 1 JV-2020","ASV109"
"Metazoa","Porifera","Demospongiae","Poecilosclerida","unclassified","unclassified","Poecilosclerida sp. 2 JV-2020","ASV11"
"Metazoa","Porifera","Demospongiae","Suberitida","Halichondriidae","Hymeniacidon","Hymeniacidon sp. 3 JV-2020","ASV110"
"Metazoa","Porifera","Demospongiae","Haplosclerida","Chalinidae","Haliclona","Haliclona sp. 24 JV-2020","ASV113"
"Metazoa","Porifera","Demospongiae","Tethyida","Tethyidae","Tethya","Tethya sp. 5 JV-2020","ASV114"
"Metazoa","Porifera","Demospongiae","Dictyoceratida","Dysideidae","Dysidea","Dysidea sp. 3 JV-2020","ASV118"
"Metazoa","Porifera","Demospongiae","Suberitida","Halichondriidae","Halichondria","Halichondria sp. 1 JV-2020","ASV12"
"Metazoa","Porifera","Demospongiae","Poecilosclerida","Mycalidae","Mycale","Mycale sp. 10 JV-2020","ASV122"
"Metazoa","Porifera","Demospongiae","Haplosclerida","Callyspongiidae","Callyspongia","Callyspongia sp. 1 JV-2020","ASV127"
"Metazoa","Porifera","Demospongiae","Dictyoceratida","Dysideidae","Dysidea","Dysidea cf. pallescens JV-2020","ASV129"
"Metazoa","Porifera","Demospongiae","Tethyida","Tethyidae","Tethya","Tethya sp. 3 JV-2020","ASV13"
"Metazoa","Porifera","Demospongiae","unclassified","unclassified","unclassified","Keratosa sp. 1 JV-2020","ASV132"
"Metazoa","Porifera","Demospongiae","Haplosclerida","Chalinidae","Haliclona","Haliclona sp. 4 JV-2020","ASV137"
"Metazoa","Porifera","Demospongiae","Dictyoceratida","Dysideidae","Dysidea","Dysidea sp. 5 JV-2020","ASV14"
"Metazoa","Porifera","Calcarea","Clathrinida","Clathrinidae","unclassified","Clathrinidae sp. 5 JV-2020","ASV140"
